izposoje,avtor,naslov,jezik
2030,Bronja Žakelj,Belo se pere na devetdeset,slovenski
1718,Tadej Golob,Dolina rož,slovenski
1405,Tadej Golob,Leninov park,slovenski
1286,Adam Kay,Tole bo bolelo : skrivni dnevnik mladega zdravnika,slovenski
1250,Tadej Golob,Jezero,slovenski
1069,Elena Ferrante,O izgubljeni deklici : zrela leta,slovenski
1050,Norman Ohler,Popolna omama : droge v tretjem rajhu,slovenski
1039,Sally Rooney,Normalni ljudje,slovenski
970,Rosie Walsh,"Moški, ki ni poklical",slovenski
938,Julia Donaldson,Zverjasec,slovenski
933,Mojca Širok,Pogodba : kriminalni roman,slovenski
925,,Zgodbe Svetega pisma,slovenski
898,Elena Ferrante,"O tistih, ki bežijo, in tistih, ki ostajajo : srednja leta",slovenski
885,Camilla Läckberg,Zlata kletka,slovenski
864,Julia Donaldson,Zverjašček,slovenski
843,Sally Rooney,Pogovori s prijatelji,slovenski
842,Joe Dispenza,Placebo ste vi : vaš um je pomemben,slovenski
840,Svetlana Makarovič,Luciferka,slovenski
827,Jojo Moyes,"Dekle, ki si ga zapustil",slovenski
811,Eduard Petiška,Stare grške bajke,slovenski
800,Željko Malić,Osnove prve pomoči : priročnik za usposabljanje kandidatov za voznike motornih vozil,slovenski
795,Peter Breznik,"Dober voznik bom : [interaktivni priročnik] : prometni vodnik za vso družino, lahko nam reši življenje!",slovenski
788,Elena Ferrante,"Genialna prijateljica : otroštvo, odraščanje",slovenski
786,Elena Ferrante,O novem priimku : mladost,slovenski
771,Julia Donaldson,Bi se gnetli na tej metli?,slovenski
758,Celeste Ng,Prikriti plameni,slovenski
757,Sally Rippin,Brina Brihta,slovenski
750,Julia Donaldson,Mišji razbojnik,slovenski
715,Jo Nesbø,Nož,slovenski
691,Jojo Moyes,Samo jaz,slovenski
678,Harlan Coben,Neznanec,slovenski
677,Julia Donaldson,Palčič,slovenski
674,David Lagercrantz,"Dekle, ki je živelo dvakrat : nadaljevanje trilogije Millennium Stiega Larssona",slovenski
665,Leïla Slimani,Uspavanka,slovenski
655,Tabea Bach,Otok kamelij,slovenski
649,Aljoša Bagola,Kako izgoreti : in vzeti življenje v svoje roke,slovenski
641,Josie Silver,Nekega decembrskega dne : božična ljubezenska zgodba,slovenski
636,Arto Paasilinna,Najboljša vas na svetu,slovenski
633,Fredrik Backman,Mi smo medvedi!,slovenski
630,Jojo Moyes,Brez tebe,slovenski
630,Jo Nesbø,Sin,slovenski
619,Goran Vojnović,Figa,slovenski
619,Peter Čeferin,Sodni dnevi,slovenski
607,Dan Brown,Izvor,slovenski
606,Fedor Mihajlovič Dostoevskij,Zločin in kazen,slovenski
599,Tabea Bach,Ženske z otoka kamelij,slovenski
596,Maria Semple,"Kam si šla, Bernadette : roman",slovenski
592,Jo Nesbø,Macbeth,slovenski
592,Robert Dugoni,Sestrin grob,slovenski
590,Michelle Obama,Moja zgodba,slovenski
586,Fredrik Backman,Mi proti vam,slovenski
586,Paula Hawkins,Pod gladino,slovenski
586,Kristina Ohlsson,Zakopane laži,slovenski
583,Arto Paasilinna,Ladjar z lepimi stopali,slovenski
582,Jo Nesbø,Ščurki,slovenski
581,Jo Nesbø,Žeja,slovenski
579,Malin Persson Giolito,Živi pesek,slovenski
572,Harlan Coben,Ubežnik,slovenski
563,Drago Jančar,In ljubezen tudi,slovenski
562,Jo Nesbø,Netopir,slovenski
561,J. K. Rowling,"Harry Potter, Kamen modrosti",slovenski
561,Primož Suhodolčan,Košarkar naj bo!,slovenski
561,Jonas Jonasson,"Nove prigode stoletnika, ki je zlezel skozi okno in izginil",slovenski
